[20190215,48691]
[20190214,48619]
[20190213,48470]
[20190212,48509]
[20190211,48915]
[20190201,48737]
[20190131,48482]
[20190130,48311]
[20190129,48163]
[20190128,48360]
[20190125,47969]
[20190124,48180]
[20190123,48141]
[20190122,48443]
[20190121,48623]
[20190118,48284]
[20190117,48023]
[20190116,47862]
[20190115,47553]
[20190114,47924]
[20190111,48145]
[20190110,48314]
[20190109,48094]
[20190108,48069]
[20190107,47911]
[20190104,47844]
[20190103,48328]
[20190102,48995]
[20181228,48899]
[20181227,48651]
[20181226,48589]
[20181225,48658]
[20181224,49009]
[20181221,48817]
[20181220,48664]
[20181219,49512]
[20181218,49813]
[20181217,49626]
[20181214,49912]
[20181213,49719]
[20181212,49724]
[20181211,49509]
[20181210,49783]
[20181207,49734]
[20181206,49935]
[20181205,50248]
[20181204,50848]
[20181203,50472]
[20181130,50196]
[20181129,50052]
[20181128,49465]
[20181127,49937]
[20181126,50016]
[20181123,50205]
[20181122,50018]
[20181121,50104]
[20181120,50392]
[20181119,50350]
[20181116,50129]
[20181115,49612]
[20181114,49662]
[20181113,49480]
[20181112,49790]
[20181109,50014]
[20181108,50098]
[20181107,50244]
[20181106,50400]
[20181105,50618]
[20181102,49868]
[20181101,49578]
[20181031,50279]
[20181030,50342]
[20181029,50515]
[20181026,50462]
[20181025,50875]
[20181024,50913]
[20181023,51102]
[20181022,50778]
[20181019,50671]
[20181018,50760]
[20181017,50646]
[20181016,51009]
[20181015,51448]
[20181012,50779]
[20181011,51293]
[20181010,51433]
[20181009,50716]
[20181008,50692]
[20180928,50669]
[20180927,51045]
[20180926,50858]
[20180925,50219]
[20180921,50166]
[20180920,50106]
[20180919,49269]
[20180918,48789]
[20180917,48854]
[20180914,49071]
[20180913,48622]
[20180912,48652]
[20180911,47985]
[20180910,48016]
[20180907,47968]
[20180906,47934]
[20180905,48164]
[20180904,48563]
[20180903,48952]
[20180831,49176]
[20180830,49222]
[20180829,49068]
[20180828,49177]
[20180827,48950]
[20180824,48683]
[20180823,48655]
[20180822,49059]
[20180821,48784]
[20180820,48308]
[20180817,47931]
[20180816,48908]
[20180815,49881]
[20180814,50084]
[20180813,49955]
[20180810,50307]
[20180809,50187]
[20180808,49970]
[20180807,49993]
[20180806,49680]
[20180803,49795]
[20180802,50256]
[20180801,50358]
[20180731,49807]
[20180730,50490]
[20180727,50607]
[20180726,50394]
[20180725,49850]
[20180724,49438]
[20180723,48991]
[20180720,49111]
[20180719,48906]
[20180718,49243]
[20180717,49121]
[20180716,49157]
[20180713,49437]
[20180712,48400]
[20180711,50164]
[20180710,50519]
[20180709,49541]
[20180706,49802]
[20180705,50619]
[20180704,51970]
[20180703,51806]
[20180702,52250]
[20180629,52276]
[20180628,52254]
[20180627,52246]
[20180626,52273]
[20180625,52572]
[20180622,52399]
[20180621,52652]
[20180620,52472]
[20180619,54232]
[20180615,54268]
[20180614,54242]
[20180613,54589]
[20180612,54832]
[20180611,54547]
[20180608,54833]
[20180607,54353]
[20180606,53497]
[20180605,52664]
[20180604,52608]
[20180601,52303]
[20180531,51808]
[20180530,52546]
[20180529,52640]
[20180528,52335]
[20180525,52274]
[20180524,52593]
[20180523,52336]
[20180522,52181]
[20180521,52212]
[20180518,51854]
[20180517,51850]
[20180516,52009]
[20180515,52374]
[20180514,52281]
[20180511,51877]
[20180510,51685]
[20180509,52201]
[20180508,52143]
[20180507,52288]
[20180504,52013]
[20180503,52153]
[20180502,52661]
[20180427,52719]
[20180426,52525]
[20180425,52538]
[20180424,53246]
[20180423,52410]
[20180420,52881]
[20180419,52287]
[20180418,52121]
[20180417,51607]
[20180416,51489]
[20180413,51616]
[20180412,52095]
[20180411,52037]
[20180410,51894]
[20180409,51320]
[20180404,51448]
