[20180521,1621]
[20180518,1637]
[20180517,1648]
[20180516,1657]
[20180515,1638]
[20180514,1613]
[20180511,1586]
[20180510,1554]
[20180509,1576]
[20180508,1578]
[20180507,1568]
[20180504,1543]
[20180503,1550]
[20180502,1500]
[20180427,1489]
[20180426,1502]
[20180425,1510]
[20180424,1510]
[20180423,1471]
[20180420,1475]
[20180419,1436]
[20180418,1419]
[20180417,1374]
[20180416,1365]
[20180413,1358]
[20180412,1357]
[20180411,1390]
[20180410,1400]
[20180409,1398]
[20180404,1402]
[20180403,1380]
[20180402,1385]
[20180330,1335]
[20180329,1310]
[20180328,1359]
[20180327,1355]
[20180326,1370]
[20180323,1452]
[20180322,1453]
[20180321,1447]
[20180320,1432]
[20180319,1475]
[20180316,1476]
[20180315,1492]
[20180314,1459]
[20180313,1476]
[20180312,1496]
[20180309,1555]
[20180308,1586]
[20180307,1620]
[20180306,1616]
[20180305,1656]
[20180302,1671]
[20180301,1653]
[20180228,1681]
[20180227,1684]
[20180226,1667]
[20180223,1625]
[20180222,1592]
[20180214,1573]
[20180213,1559]
[20180212,1553]
[20180209,1582]
[20180208,1594]
[20180207,1567]
[20180206,1566]
[20180205,1540]
[20180202,1489]
[20180201,1487]
[20180131,1488]
[20180130,1504]
[20180129,1512]
[20180126,1526]
[20180125,1508]
[20180124,1477]
[20180123,1477]
[20180122,1486]
[20180119,1460]
[20180118,1455]
[20180117,1449]
[20180116,1468]
[20180115,1488]
[20180112,1501]
[20180111,1499]
[20180110,1532]
[20180109,1546]
[20180108,1535]
[20180105,1544]
[20180104,1521]
[20180103,1497]
[20180102,1487]
[20171229,1474]
[20171228,1462]
[20171227,1497]
[20171226,1491]
[20171225,1562]
[20171222,1545]
[20171221,1552]
[20171220,1567]
[20171219,1596]
[20171218,1566]
[20171215,1495]
[20171214,1527]
[20171213,1558]
[20171212,1552]
[20171211,1554]
[20171208,1500]
[20171207,1615]
[20171206,1605]
[20171205,1630]
[20171204,1640]
[20171201,1597]
[20171130,1567]
[20171129,1548]
[20171128,1549]
[20171127,1561]
[20171124,1540]
[20171123,1550]
[20171122,1509]
[20171121,1473]
[20171120,1444]
[20171117,1405]
[20171116,1385]
[20171115,1417]
[20171114,1385]
[20171113,1410]
[20171110,1417]
[20171109,1450]
[20171108,1419]
[20171107,1382]
[20171106,1352]
[20171103,1350]
[20171102,1323]
[20171101,1287]
[20171031,1296]
[20171030,1326]
[20171027,1332]
[20171026,1324]
[20171025,1290]
[20171024,1296]
[20171023,1358]
[20171020,1326]
[20171019,1372]
[20171018,1398]
[20171017,1469]
[20171016,1490]
[20171013,1432]
[20171012,1373]
[20171011,1389]
[20171010,1456]
[20171009,1492]
[20170929,1458]
[20170928,1528]
[20170927,1544]
[20170926,1554]
[20170925,1566]
[20170922,1611]
[20170921,1694]
[20170920,1678]
[20170919,1697]
[20170918,1759]
[20170915,1836]
[20170914,1876]
[20170913,1908]
[20170912,1881]
[20170911,1852]
[20170908,1865]
[20170907,1820]
[20170906,1793]
[20170905,1771]
[20170904,1821]
[20170901,1835]
[20170831,1846]
[20170830,1846]
[20170829,1906]
[20170828,1909]
[20170825,1887]
[20170824,1846]
[20170823,1817]
[20170822,1804]
[20170821,1790]
[20170818,1748]
[20170817,1694]
[20170816,1640]
[20170815,1623]
[20170814,1672]
[20170811,1693]
[20170810,1660]
[20170809,1636]
[20170808,1602]
[20170807,1596]
[20170804,1562]
[20170803,1579]
[20170802,1573]
[20170801,1562]
[20170731,1525]
[20170728,1477]
[20170727,1473]
[20170726,1468]
[20170725,1442]
[20170724,1464]
[20170721,1456]
[20170720,1471]
[20170719,1459]
[20170718,1444]
[20170717,1418]
[20170714,1415]
[20170713,1410]
[20170712,1422]
[20170711,1405]
[20170710,1369]
[20170707,1357]
[20170706,1341]
[20170705,1339]
[20170704,1357]
[20170703,1342]
[20170630,1323]
[20170629,1316]
[20170628,1270]
[20170627,1248]
[20170626,1237]
[20170623,1226]
[20170622,1225]
[20170621,1201]
[20170620,1202]
[20170619,1195]
[20170616,1157]
[20170615,1146]
[20170614,1109]
[20170613,1101]
[20170612,1091]
[20170609,1080]
[20170608,1081]
[20170607,1083]
[20170606,1067]
[20170605,1067]
[20170602,1081]
[20170601,1087]
[20170531,1168]
[20170526,1177]
[20170525,1168]
[20170524,1195]
[20170523,1184]
[20170522,1198]
[20170519,1183]
[20170518,1173]
[20170517,1162]
[20170516,1140]
[20170515,1139]
[20170512,1165]
[20170511,1186]
[20170510,1171]
[20170509,1145]
[20170508,1128]
[20170505,1128]
[20170504,1187]
[20170503,1232]
[20170502,1233]
[20170428,1219]
[20170427,1197]
[20170426,1224]
[20170425,1218]
[20170424,1249]
[20170421,1238]
[20170420,1172]
[20170419,1213]
[20170418,1249]
[20170417,1222]
[20170414,1230]
[20170413,1230]
[20170412,1306]
[20170411,1360]
[20170410,1382]
[20170407,1448]
[20170406,1433]
[20170405,1375]
[20170331,1319]
[20170330,1314]
[20170329,1271]
[20170328,1253]
[20170327,1280]
[20170324,1284]
[20170323,1268]
[20170322,1282]
[20170321,1289]
[20170320,1272]
[20170317,1273]
[20170316,1263]
[20170315,1265]
[20170314,1253]
[20170313,1213]
[20170310,1219]
[20170309,1210]
[20170308,1219]
[20170307,1214]
[20170306,1225]
[20170303,1228]
[20170302,1234]
[20170301,1197]
[20170228,1179]
[20170227,1169]
[20170224,1140]
[20170223,1132]
[20170222,1175]
[20170221,1193]
[20170220,1161]
[20170217,1132]
[20170216,1151]
[20170215,1139]
[20170214,1130]
[20170213,1104]
[20170210,1070]
[20170209,1063]
[20170208,1065]
[20170207,1048]
[20170206,1069]
[20170203,1153]
[20170126,1126]
[20170125,1118]
[20170124,1119]
[20170123,1091]
[20170120,1135]
[20170119,1138]
[20170118,1131]
[20170117,1236]
[20170116,1199]
[20170113,1142]
[20170112,1131]
[20170111,1143]
[20170110,1090]
[20170109,1036]
[20170106,1023]
[20170105,1008]
[20170104,999]
[20170103,1021]
[20161230,1039]
[20161229,1045]
[20161228,1066]
[20161227,1051]
[20161226,1110]
[20161223,1120]
[20161222,1201]
[20161221,1205]
[20161220,1191]
[20161219,1196]
[20161216,1212]
[20161215,1199]
[20161214,1192]
[20161213,1176]
[20161212,1238]
[20161209,1234]
[20161208,1266]
[20161207,1231]
[20161206,1199]
[20161205,1192]
[20161202,1206]
[20161201,1222]
[20161130,1251]
[20161129,1390]
[20161128,1389]
[20161125,1347]
[20161124,1379]
[20161123,1380]
[20161122,1327]
[20161121,1273]
[20161118,1294]
[20161117,1312]
[20161116,1269]
[20161115,1370]
[20161114,1385]
[20161111,1342]
[20161110,1365]
[20161109,1309]
[20161108,1248]
[20161107,1235]
[20161104,1174]
[20161103,1134]
[20161102,1145]
[20161101,1147]
[20161031,1108]
[20161028,1082]
[20161027,1072]
[20161026,1085]
[20161025,1033]
[20161024,1000]
[20161021,981]
[20161020,983]
[20161019,972]
[20161018,938]
[20161017,933]
[20161014,911]
[20161013,892]
[20161012,869]
[20161011,848]
[20161010,826]
[20160930,818]
[20160929,813]
[20160928,791]
[20160927,803]
[20160926,796]
[20160923,774]
[20160922,784]
[20160921,757]
[20160920,741]
[20160919,725]
[20160914,714]
[20160913,720]
[20160912,745]
[20160909,763]
[20160908,761]
[20160907,805]
[20160906,804]
[20160905,789]
[20160902,765]
[20160901,741]
[20160831,770]
[20160830,772]
[20160829,775]
[20160826,788]
[20160825,801]
[20160824,807]
[20160823,798]
[20160822,795]
[20160819,777]
[20160818,792]
[20160817,787]
[20160816,756]
[20160815,746]
[20160812,754]
[20160811,761]
[20160810,759]
[20160809,727]
[20160808,708]
[20160805,674]
[20160804,672]
[20160803,672]
[20160802,668]
[20160801,655]
[20160729,649]
[20160728,643]
[20160727,638]
[20160726,634]
[20160725,616]
[20160722,608]
[20160721,596]
[20160720,577]
[20160719,580]
[20160718,610]
[20160715,607]
[20160714,603]
[20160713,607]
[20160712,590]
[20160711,570]
[20160708,562]
[20160707,571]
[20160706,566]
[20160705,580]
[20160704,572]
[20160701,565]
[20160630,559]
[20160629,557]
[20160628,560]
[20160627,544]
[20160624,522]
[20160623,520]
[20160622,513]
[20160621,509]
[20160620,508]
[20160617,504]
[20160616,498]
[20160615,498]
[20160614,521]
[20160613,528]
[20160608,531]
[20160607,533]
[20160606,520]
[20160603,512]
[20160602,508]
[20160601,508]
[20160531,515]
[20160530,507]
[20160527,503]
[20160526,490]
[20160525,496]
[20160524,516]
[20160523,549]
[20160520,542]
[20160519,536]
[20160518,550]
[20160517,538]
[20160516,525]
[20160513,545]
[20160512,548]
[20160511,558]
[20160510,561]
[20160509,589]
[20160506,613]
[20160505,635]
[20160504,642]
[20160503,658]
[20160429,645]
[20160428,630]
[20160427,656]
[20160426,670]
[20160425,649]
[20160422,629]
[20160421,614]
[20160420,583]
[20160419,562]
[20160418,550]
[20160415,545]
[20160414,553]
[20160413,552]
[20160412,526]
[20160411,505]
[20160408,493]
[20160407,490]
[20160406,492]
[20160405,485]
[20160401,476]
[20160331,468]
[20160330,468]
[20160329,462]
[20160328,468]
[20160325,457]
[20160324,466]
[20160323,467]
[20160322,460]
[20160321,471]
[20160318,466]
[20160317,457]
[20160316,447]
[20160315,453]
[20160314,453]
[20160311,443]
[20160310,443]
[20160309,453]
[20160308,439]
[20160307,432]
[20160304,422]
[20160303,429]
[20160302,427]
[20160301,429]
[20160229,424]
[20160226,421]
[20160225,424]
[20160224,421]
[20160223,415]
[20160222,409]
[20160219,400]
[20160218,394]
[20160217,395]
[20160216,391]
[20160215,389]
[20160205,391]
[20160204,390]
[20160203,386]
[20160202,387]
[20160201,389]
[20160129,388]
[20160128,393]
[20160127,390]
[20160126,389]
[20160125,390]
[20160122,387]
[20160121,383]
[20160120,385]
[20160119,384]
[20160118,382]
[20160115,377]
[20160114,371]
[20160113,369]
[20160112,375]
[20160111,377]
[20160108,375]
[20160107,377]
[20160106,385]
[20160105,384]
[20160104,390]
[20151231,388]
[20151230,391]
[20151229,383]
[20151228,380]
[20151225,378]
[20151224,382]
[20151223,384]
[20151222,384]
[20151221,383]
[20151218,377]
[20151217,375]
[20151216,370]
[20151215,373]
[20151214,371]
[20151211,366]
[20151210,365]
[20151209,368]
[20151208,371]
[20151207,370]
[20151204,370]
[20151203,375]
[20151202,375]
[20151201,368]
[20151130,372]
[20151127,381]
[20151126,386]
[20151125,378]
[20151124,373]
[20151123,373]
[20151120,376]
[20151119,388]
[20151118,388]
[20151117,389]
[20151116,389]
[20151113,389]
[20151112,390]
[20151111,393]
[20151110,392]
[20151109,392]
[20151106,392]
[20151105,392]
[20151104,395]
[20151103,395]
[20151102,399]
[20151030,399]
[20151029,399]
[20151028,401]
[20151027,406]
[20151026,408]
[20151023,407]
[20151022,406]
[20151021,406]
[20151020,405]
[20151019,407]
[20151016,406]
[20151015,406]
[20151014,409]
[20151013,410]
[20151012,421]
[20151009,420]
[20151008,418]
[20150930,420]
[20150929,422]
